projection,threshold,n_nodes,n_edges,edge_retention_pct,avg_degree,n_components,giant_component_size,giant_component_pct,n_isolated_games,weight_min,weight_max,weight_avg,weight_q25,weight_median,weight_q75,weight_q90,weight_q99,weight_sample_size
catalog,0.0,22708,140916316,100.0,12411.1605,1,22708,100.0,0,0.03125,1.0,0.169692,0.1,0.142857,0.2,0.3,0.6,200000
catalog,0.01,22708,140916316,100.0,12411.1605,1,22708,100.0,0,0.03125,1.0,0.169692,0.1,0.142857,0.2,0.3,0.6,200000
catalog,0.02,22708,140916316,100.0,12411.1605,1,22708,100.0,0,0.03125,1.0,0.169692,0.1,0.142857,0.2,0.3,0.6,200000
catalog,0.03,22708,140916316,100.0,12411.1605,1,22708,100.0,0,0.03125,1.0,0.169692,0.1,0.142857,0.2,0.3,0.6,200000
catalog,0.05,22708,140467091,99.6812,12371.5951,1,22708,100.0,0,0.05,1.0,0.170089,0.1,0.142857,0.2,0.307692,0.6,200000
catalog,0.08,22708,121492645,86.2162,10700.4267,1,22708,100.0,0,0.08,1.0,0.186002,0.111111,0.153846,0.222222,0.333333,0.6,200000
catalog,0.1,22708,106152176,75.3299,9349.3197,1,22708,100.0,0,0.1,1.0,0.200237,0.125,0.166667,0.25,0.333333,0.625,200000
catalog,0.15,22708,61312563,43.5099,5400.0848,1,22708,100.0,0,0.15,1.0,0.258142,0.181818,0.222222,0.285714,0.4,0.666667,200000
catalog,0.2,22708,43574659,30.9224,3837.8245,1,22708,100.0,0,0.2,1.0,0.294745,0.214286,0.25,0.333333,0.428571,0.75,200000
community,0.0,22708,9737860,100.0,857.659,1,22708,100.0,0,9e-06,0.57971,0.00128,0.000211,0.000476,0.001083,0.002457,0.013333,200000
community,0.0001,22708,8788017,90.2459,774.0018,1,22708,100.0,0,0.0001,0.57971,0.001412,0.000278,0.000559,0.001196,0.002695,0.014085,200000
community,0.0005,22708,4801691,49.3095,422.9074,1,22708,100.0,0,0.0005,0.57971,0.002356,0.000727,0.001111,0.002093,0.004405,0.020833,200000
community,0.001,22708,2714225,27.8729,239.0545,1,22708,100.0,0,0.001,0.57971,0.003621,0.001316,0.001894,0.00339,0.006849,0.027027,200000
community,0.002,22708,1302892,13.3797,114.7518,1,22708,100.0,0,0.002,0.57971,0.006034,0.002545,0.003546,0.005988,0.011236,0.035928,200000
community,0.005,22708,432918,4.4457,38.1291,210,22486,99.0224,199,0.005,0.57971,0.012056,0.006173,0.008264,0.012987,0.021739,0.053763,200000
community,0.01,22708,166579,1.7106,14.6714,2533,19772,87.0706,2254,0.01,0.57971,0.020357,0.012048,0.015385,0.022602,0.033333,0.091846,166579
community,0.02,22708,53601,0.5504,4.7209,8320,12718,56.0067,7467,0.02,0.57971,0.034564,0.022727,0.027778,0.035714,0.05,0.149606,53601
community,0.05,22708,5447,0.0559,0.4797,19567,644,2.836,18333,0.05,0.57971,0.088548,0.056494,0.071429,0.101675,0.148191,0.27859,5447
